timestamp,datetime,platform_course : from INS (degree),altitude : from GPS (meter),platform_speed_wrt_air : from pitot (m/s),"eastward_wind : Attitudes and speed wrt ground from INS, air angles from radome, air speed from pitot (m/s)","northward_wind : Attitudes and speed wrt ground from INS, air angles from radome, air speed from pitot (m/s)","upward_air_velocity : Attitudes and speed wrt ground from INS, air angles from radome, air speed from pitot (m/s)"
0,2011-11-08 14:44:01.720009,143.48,286.5,70.8,0.7,-1.5,-15.25
1,2011-11-08 14:44:02.720009,143.34,287.2,72.9,0.3,-1.9,-16.5
2,2011-11-08 14:44:03.720009,143.4,288.8,73.6,0.7,-1.9,-15.63
3,2011-11-08 14:44:04.720012,143.33,291.4,73.9,0.7,-2.4,-15.12
4,2011-11-08 14:44:05.720009,143.33,294.9,74,1.3,-2.3,-13.91
5,2011-11-08 14:44:06.720010,143.51,299.3,75.3,-0.7,0.2,-1.35
6,2011-11-08 14:44:07.720009,143.6,304.4,75.6,-0.3,0.1,-1.2
7,2011-11-08 14:44:08.720018,143.73,310.2,76.4,-0.2,0.5,-1.17
8,2011-11-08 14:44:09.720009,143.82,316.6,77.6,-0.9,1.1,-0.58
9,2011-11-08 14:44:10.720009,144.05,323.6,78,-0.6,0.8,-2.12
10,2011-11-08 14:44:11.720009,144.04,331.1,78.7,-1,0.7,-2.34
11,2011-11-08 14:44:12.720017,144,339.2,79.1,-1.1,0.9,-1.96
12,2011-11-08 14:44:13.720009,144.07,347.9,79.5,-1.5,0.6,-1.8
13,2011-11-08 14:44:14.720010,143.97,357.2,79.6,-1,0.9,-1.17
14,2011-11-08 14:44:15.720010,143.84,367.1,79.8,-1.3,0.5,-1.1
15,2011-11-08 14:44:16.720013,143.93,377.5,80,-1.4,0.6,-0.17
16,2011-11-08 14:44:17.720009,144.22,388.4,80.4,-1,0.7,-0.15
17,2011-11-08 14:44:18.720010,144.18,399.6,80.4,-0.8,0.3,-0.48
18,2011-11-08 14:44:19.720009,144.21,411,80.6,-0.5,0,-2.18
19,2011-11-08 14:44:20.720013,144.26,422.5,80.6,-0.4,-0.1,-1.72
20,2011-11-08 14:44:21.720009,144.4,433.9,80.6,0.1,-0.3,-1.78
21,2011-11-08 14:44:22.720010,144.43,445.1,81.3,0,0,-1.18
22,2011-11-08 14:44:23.720009,144.5,456,82.3,0,0.5,-1.02
23,2011-11-08 14:44:24.720015,144.67,466.4,83.1,0.1,0.4,-1.47
24,2011-11-08 14:44:25.720009,144.83,476.4,84.1,0,0.5,-1.32
25,2011-11-08 14:44:26.720009,144.9,485.9,85.2,-0.5,0.6,-0.7
26,2011-11-08 14:44:27.720009,144.98,495.2,85.6,-0.3,0.3,-0.31
27,2011-11-08 14:44:28.720013,145.12,504.2,86.5,0,0.3,-1.18
28,2011-11-08 14:44:29.720009,145.11,512.9,87.9,-0.2,0.8,-0.9
29,2011-11-08 14:44:30.720009,145.11,521.4,88.8,0.1,1.1,-0.35
30,2011-11-08 14:44:31.720009,145.2,529.7,89.5,0.4,0.9,-0.49
31,2011-11-08 14:44:32.720017,145.3,538,90.3,0.3,0.5,-0.86
32,2011-11-08 14:44:33.720009,145.39,546.2,91.5,0.3,0.8,-1.05
33,2011-11-08 14:44:34.720009,145.43,554.6,92.4,0,0.7,-0.62
34,2011-11-08 14:44:35.720009,145.54,563.1,92.9,-0.3,0,-0.29
35,2011-11-08 14:44:36.720014,145.63,571.8,93.5,-0.1,-0.2,-0.94
36,2011-11-08 14:44:37.720009,145.57,580.4,94.6,0,0.1,-0.68
37,2011-11-08 14:44:38.720010,145.61,588.9,95.6,0.1,0.3,-0.55
38,2011-11-08 14:44:39.720010,145.73,597.4,96.6,0.3,0.3,-1.14
39,2011-11-08 14:44:40.720013,145.84,605.9,97.7,0.3,0.6,-0.8
40,2011-11-08 14:44:41.720009,145.94,614.4,98.6,0.3,0.7,-0.63
41,2011-11-08 14:44:42.720010,146.01,623,99.6,-0.1,0.9,-0.49
42,2011-11-08 14:44:43.720009,146.13,631.7,100.7,-0.5,1.3,0.05
43,2011-11-08 14:44:44.720015,146.21,640.7,101.1,-0.3,1.3,-0.6
44,2011-11-08 14:44:45.720009,146.18,649.9,101.3,-0.3,1.1,-0.16
45,2011-11-08 14:44:46.720010,146.28,659.4,101.6,-0.5,0.8,0.13
46,2011-11-08 14:44:47.720010,146.52,669,102.4,-0.6,1,-0.06
47,2011-11-08 14:44:48.720013,146.58,679,102.7,-1,0.7,-0.37
48,2011-11-08 14:44:49.720009,146.58,689.2,102.3,0,0.6,-0.39
49,2011-11-08 14:44:50.720010,146.59,699.7,102.3,0.7,0.5,-0.71
50,2011-11-08 14:44:51.720009,146.67,710.3,103.2,0.1,0.9,-0.87
51,2011-11-08 14:44:52.720014,146.89,721,104.1,0.2,1.5,-0.77
52,2011-11-08 14:44:53.720009,147.04,731.8,104.4,0.5,1.5,-1.55
53,2011-11-08 14:44:54.720010,147.12,742.8,104.6,0.8,1.7,-1.28
54,2011-11-08 14:44:55.720009,147.28,754,104.6,0.9,1.5,-1.35
55,2011-11-08 14:44:56.720012,147.37,765.3,104.9,0.7,1.3,-1.5
56,2011-11-08 14:44:57.720009,147.43,776.7,105.6,0.3,1.8,-0.67
57,2011-11-08 14:44:58.720009,147.5,788.1,106.5,0.1,2.1,-2.04
58,2011-11-08 14:44:59.720009,147.49,799.6,106.6,0.2,2,-1.85
59,2011-11-08 14:45:00.720019,147.38,811.1,106.8,0.3,2.1,-0.46
60,2011-11-08 14:45:01.720009,147.34,822.5,107.3,-0.1,1.9,-0.5
61,2011-11-08 14:45:02.720010,147.22,833.8,107.6,-0.3,1.7,-0.56
62,2011-11-08 14:45:03.720010,147.07,845,107.8,-0.3,1.3,-0.06
63,2011-11-08 14:45:04.720014,147,856.1,108,-0.3,1.1,0.22
64,2011-11-08 14:45:05.720009,147.04,867.2,108.5,-0.4,1.1,-0.21
65,2011-11-08 14:45:06.720009,147.1,878.3,108.8,-0.1,1.2,-0.08
66,2011-11-08 14:45:07.720009,147.1,889.7,109.6,-0.6,1.4,-0.29
67,2011-11-08 14:45:08.720019,147.16,901.3,110.2,-0.8,1.6,-0.47
68,2011-11-08 14:45:09.720009,147.13,913.3,109.5,-0.1,0.9,-0.18
